Canton,UnemploymentRate,Unemployed,TotalSeekingForJob,EmployedSeekingForJob
Zurich,3.4,27992,35112,7120
Berne,2.4,13633,18442,4809
Lucerne,1.7,3875,6805,2930
Uri,0.7,129,265,136
Schwyz,1.7,1447,2232,785
Obwald,0.8,176,310,134
Nidwald,1,241,434,193
Glaris,1.8,415,705,290
Zoug,2.3,1574,2707,1133
Fribourg,2.7,4372,7755,3383
Soleure,2.7,3900,6746,2846
Bâle-Ville,3.5,3514,5301,1787
Bâle-Campagne,2.8,4151,5643,1492
Schaffhouse,3,1322,2365,1043
Appenzell Rhodes-Extérieures,1.8,543,915,372
Appenzell Rhodes-Intérieures,0.8,68,103,35
St-Gall,2.2,6054,10608,4554
Grisons,1,1084,2430,1346
Argovie,2.9,10719,15305,4586
Thurgovie,2.1,3126,5689,2563
Tessin,3,4982,8295,3313
Vaud,4.3,17105,24591,7486
Valais,2.9,5005,7999,2994
Neuchâtel,5.3,4852,6505,1653
Genève,5.1,12044,15547,3503
Jura,4.4,1603,2414,811
Total,3,133926,195223,61297
