Canton;Nationalité;Mesures;Value
Zurich;Etrangers;Chômeurs inscrits;12 546
Zurich;Etrangers;Demandeurs d'emploi;15 950
Zurich;Suisses;Chômeurs inscrits;15 446
Zurich;Suisses;Demandeurs d'emploi;19 162
Zurich;Total;Chômeurs inscrits;27 992
Zurich;Total;Demandeurs d'emploi;35 112
Berne;Etrangers;Chômeurs inscrits;4 911
Berne;Etrangers;Demandeurs d'emploi;6 800
Berne;Suisses;Chômeurs inscrits;8 722
Berne;Suisses;Demandeurs d'emploi;11 642
Berne;Total;Chômeurs inscrits;13 633
Berne;Total;Demandeurs d'emploi;18 442
Lucerne;Etrangers;Chômeurs inscrits;1 591
Lucerne;Etrangers;Demandeurs d'emploi;2 893
Lucerne;Suisses;Chômeurs inscrits;2 284
Lucerne;Suisses;Demandeurs d'emploi;3 912
Lucerne;Total;Chômeurs inscrits;3 875
Lucerne;Total;Demandeurs d'emploi;6 805
Uri;Etrangers;Chômeurs inscrits;69
Uri;Etrangers;Demandeurs d'emploi;127
Uri;Suisses;Chômeurs inscrits;60
Uri;Suisses;Demandeurs d'emploi;138
Uri;Total;Chômeurs inscrits;129
Uri;Total;Demandeurs d'emploi;265
Schwyz;Etrangers;Chômeurs inscrits;630
Schwyz;Etrangers;Demandeurs d'emploi;1 023
Schwyz;Suisses;Chômeurs inscrits;817
Schwyz;Suisses;Demandeurs d'emploi;1 209
Schwyz;Total;Chômeurs inscrits;1 447
Schwyz;Total;Demandeurs d'emploi;2 232
Obwald;Etrangers;Chômeurs inscrits;79
Obwald;Etrangers;Demandeurs d'emploi;139
Obwald;Suisses;Chômeurs inscrits;97
Obwald;Suisses;Demandeurs d'emploi;171
Obwald;Total;Chômeurs inscrits;176
Obwald;Total;Demandeurs d'emploi;310
Nidwald;Etrangers;Chômeurs inscrits;96
Nidwald;Etrangers;Demandeurs d'emploi;180
Nidwald;Suisses;Chômeurs inscrits;145
Nidwald;Suisses;Demandeurs d'emploi;254
Nidwald;Total;Chômeurs inscrits;241
Nidwald;Total;Demandeurs d'emploi;434
Glaris;Etrangers;Chômeurs inscrits;195
Glaris;Etrangers;Demandeurs d'emploi;368
Glaris;Suisses;Chômeurs inscrits;220
Glaris;Suisses;Demandeurs d'emploi;337
Glaris;Total;Chômeurs inscrits;415
Glaris;Total;Demandeurs d'emploi;705
Zoug;Etrangers;Chômeurs inscrits;728
Zoug;Etrangers;Demandeurs d'emploi;1 266
Zoug;Suisses;Chômeurs inscrits;846
Zoug;Suisses;Demandeurs d'emploi;1 441
Zoug;Total;Chômeurs inscrits;1 574
Zoug;Total;Demandeurs d'emploi;2 707
Fribourg;Etrangers;Chômeurs inscrits;1 806
Fribourg;Etrangers;Demandeurs d'emploi;3 422
Fribourg;Suisses;Chômeurs inscrits;2 566
Fribourg;Suisses;Demandeurs d'emploi;4 333
Fribourg;Total;Chômeurs inscrits;4 372
