Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Zurich;15-19 ans;Etrangers;453
Zurich;15-19 ans;Suisses;809
Zurich;15-19 ans;Total;1 262
Zurich;20-24 ans;Etrangers;631
Zurich;20-24 ans;Suisses;1 437
Zurich;20-24 ans;Total;2 068
Zurich;25-29 ans;Etrangers;1 515
Zurich;25-29 ans;Suisses;1 729
Zurich;25-29 ans;Total;3 244
Zurich;30-34 ans;Etrangers;2 325
Zurich;30-34 ans;Suisses;1 824
Zurich;30-34 ans;Total;4 149
Zurich;35-39 ans;Etrangers;2 242
Zurich;35-39 ans;Suisses;1 689
Zurich;35-39 ans;Total;3 931
Zurich;40-44 ans;Etrangers;1 763
Zurich;40-44 ans;Suisses;1 562
Zurich;40-44 ans;Total;3 325
Zurich;45-49 ans;Etrangers;1 356
Zurich;45-49 ans;Suisses;1 777
Zurich;45-49 ans;Total;3 133
Zurich;50-54 ans;Etrangers;1 095
Zurich;50-54 ans;Suisses;1 841
Zurich;50-54 ans;Total;2 936
Zurich;55-59 ans;Etrangers;728
Zurich;55-59 ans;Suisses;1 596
Zurich;55-59 ans;Total;2 324
Zurich;60 ans et plus;Etrangers;438
Zurich;60 ans et plus;Suisses;1 182
Zurich;60 ans et plus;Total;1 620
Zurich;Total;;27 992
Berne;15-19 ans;Etrangers;150
Berne;15-19 ans;Suisses;332
Berne;15-19 ans;Total;482
Berne;20-24 ans;Etrangers;366
Berne;20-24 ans;Suisses;945
Berne;20-24 ans;Total;1 311
Berne;25-29 ans;Etrangers;622
Berne;25-29 ans;Suisses;1 117
Berne;25-29 ans;Total;1 739
Berne;30-34 ans;Etrangers;869
Berne;30-34 ans;Suisses;973
Berne;30-34 ans;Total;1 842
Berne;35-39 ans;Etrangers;735
Berne;35-39 ans;Suisses;846
Berne;35-39 ans;Total;1 581
Berne;40-44 ans;Etrangers;575
Berne;40-44 ans;Suisses;767
Berne;40-44 ans;Total;1 342
Berne;45-49 ans;Etrangers;582
Berne;45-49 ans;Suisses;888
Berne;45-49 ans;Total;1 470
Berne;50-54 ans;Etrangers;442
Berne;50-54 ans;Suisses;1 027
Berne;50-54 ans;Total;1 469
Berne;55-59 ans;Etrangers;331
Berne;55-59 ans;Suisses;940
Berne;55-59 ans;Total;1 271
Berne;60 ans et plus;Etrangers;239
Berne;60 ans et plus;Suisses;887
Berne;60 ans et plus;Total;1 126
Berne;Total;;13 633
Lucerne;15-19 ans;Etrangers;61
Lucerne;15-19 ans;Suisses;120
Lucerne;15-19 ans;Total;181
Lucerne;20-24 ans;Etrangers;135
Lucerne;20-24 ans;Suisses;282
Lucerne;20-24 ans;Total;417
Lucerne;25-29 ans;Etrangers;222
Lucerne;25-29 ans;Suisses;262
Lucerne;25-29 ans;Total;484
Lucerne;30-34 ans;Etrangers;245
Lucerne;30-34 ans;Suisses;255
Lucerne;30-34 ans;Total;500
Lucerne;35-39 ans;Etrangers;241
Lucerne;35-39 ans;Suisses;213
Lucerne;35-39 ans;Total;454
Lucerne;40-44 ans;Etrangers;183
Lucerne;40-44 ans;Suisses;179
Lucerne;40-44 ans;Total;362
Lucerne;45-49 ans;Etrangers;186
Lucerne;45-49 ans;Suisses;217
Lucerne;45-49 ans;Total;403
Lucerne;50-54 ans;Etrangers;141
Lucerne;50-54 ans;Suisses;270
Lucerne;50-54 ans;Total;411
Lucerne;55-59 ans;Etrangers;118
Lucerne;55-59 ans;Suisses;281
Lucerne;55-59 ans;Total;399
Lucerne;60 ans et plus;Etrangers;59
Lucerne;60 ans et plus;Suisses;205
Lucerne;60 ans et plus;Total;264
Lucerne;Total;;3 875
Uri;15-19 ans;Etrangers;1
Uri;15-19 ans;Suisses;1
Uri;15-19 ans;Total;2
Uri;20-24 ans;Etrangers;7
Uri;20-24 ans;Suisses;7
Uri;20-24 ans;Total;14
Uri;25-29 ans;Etrangers;5
Uri;25-29 ans;Suisses;8
Uri;25-29 ans;Total;13
Uri;30-34 ans;Etrangers;18
Uri;30-34 ans;Suisses;4
Uri;30-34 ans;Total;22
Uri;35-39 ans;Etrangers;6
Uri;35-39 ans;Suisses;4
Uri;35-39 ans;Total;10
Uri;40-44 ans;Etrangers;5
Uri;40-44 ans;Suisses;3
Uri;40-44 ans;Total;8
Uri;45-49 ans;Etrangers;7
Uri;45-49 ans;Suisses;10
Uri;45-49 ans;Total;17
Uri;50-54 ans;Etrangers;6
Uri;50-54 ans;Suisses;7
Uri;50-54 ans;Total;13
Uri;55-59 ans;Etrangers;12
Uri;55-59 ans;Suisses;8
Uri;55-59 ans;Total;20
Uri;60 ans et plus;Etrangers;2
Uri;60 ans et plus;Suisses;8
Uri;60 ans et plus;Total;10
Uri;Total;;129
Schwyz;15-19 ans;Etrangers;13
Schwyz;15-19 ans;Suisses;18
Schwyz;15-19 ans;Total;31
Schwyz;20-24 ans;Etrangers;36
Schwyz;20-24 ans;Suisses;58
Schwyz;20-24 ans;Total;94
Schwyz;25-29 ans;Etrangers;48
Schwyz;25-29 ans;Suisses;63
Schwyz;25-29 ans;Total;111
Schwyz;30-34 ans;Etrangers;87
Schwyz;30-34 ans;Suisses;74
Schwyz;30-34 ans;Total;161
Schwyz;35-39 ans;Etrangers;75
Schwyz;35-39 ans;Suisses;68
Schwyz;35-39 ans;Total;143
Schwyz;40-44 ans;Etrangers;103
Schwyz;40-44 ans;Suisses;79
Schwyz;40-44 ans;Total;182
Schwyz;45-49 ans;Etrangers;80
Schwyz;45-49 ans;Suisses;114
Schwyz;45-49 ans;Total;194
Schwyz;50-54 ans;Etrangers;76
Schwyz;50-54 ans;Suisses;125
Schwyz;50-54 ans;Total;201
Schwyz;55-59 ans;Etrangers;73
Schwyz;55-59 ans;Suisses;116
Schwyz;55-59 ans;Total;189
Schwyz;60 ans et plus;Etrangers;39
Schwyz;60 ans et plus;Suisses;102
Schwyz;60 ans et plus;Total;141
Schwyz;Total;;1 447
Obwald;15-19 ans;Suisses;1
Obwald;15-19 ans;Total;1
Obwald;20-24 ans;Etrangers;8
Obwald;20-24 ans;Suisses;7
Obwald;20-24 ans;Total;15
Obwald;25-29 ans;Etrangers;12
Obwald;25-29 ans;Suisses;11
Obwald;25-29 ans;Total;23
Obwald;30-34 ans;Etrangers;9
Obwald;30-34 ans;Suisses;4
